"Time (UTCG)","DeltaV (m/sec)","FuelMass (kg)","Fuel_Density (kg/m^3)","Specific_Impulse (s)","Tank_Pressure (Pa)","Tank_Temperature (K)","Total_Mass (kg)","Total_Mass_Flow_Rate (kg/sec)"
13 Feb 2026 11:37:22.621,0.000000,500.000,1000.000000,0.000000,5000.000000,293.150,2500.000,0.000000
13 Feb 2026 11:37:22.621,1722.500000,0.000,1000.000000,0.000000,5000.000000,293.150,2000.000,0.000000
13 Feb 2026 14:03:31.497,0.000000,0.000,1000.000000,0.000000,5000.000000,293.150,2000.000,0.000000
13 Feb 2026 14:03:31.497,1329.700000,0.000,1000.000000,0.000000,5000.000000,293.150,2000.000,0.000000

